# x,y,g1,g2
0,0,121,134
1,0,51,144
2,0,56,161
3,0,57,161
4,0,56,150
5,0,66,141
6,0,80,134
7,0,73,137
8,0,58,137
9,0,56,138
10,0,54,137
11,0,54,136
12,0,53,137
13,0,51,140
14,0,52,140
15,0,54,138
16,0,55,137
17,0,55,139
18,0,49,139
19,0,51,138
20,0,54,139
21,0,57,139
22,0,58,137
23,0,58,138
24,0,57,140
25,0,56,139
26,0,53,138
27,0,53,137
28,0,54,137
29,0,56,138
30,0,56,139
31,0,56,139
32,0,56,138
33,0,57,138
34,0,57,137
35,0,56,138
36,0,56,138
37,0,56,139
38,0,56,140
39,0,55,140
40,0,55,139
41,0,55,137
42,0,55,137
43,0,55,139
44,0,55,140
45,0,55,138
46,0,54,136
47,0,53,136
48,0,51,137
49,0,49,139
50,0,52,140
51,0,51,140
52,0,51,139
53,0,50,137
54,0,51,136
55,0,52,135
56,0,54,135
57,0,55,139
58,0,55,141
59,0,55,139
60,0,56,139
61,0,56,140
62,0,55,141
63,0,55,141
64,0,55,139
65,0,54,138
66,0,54,139
67,0,54,139
68,0,55,138
69,0,55,138
70,0,54,138
71,0,54,138
72,0,56,137
73,0,58,137
74,0,56,139
75,0,51,140
76,0,51,140
77,0,67,139
78,0,80,137
79,0,71,137
80,0,56,138
81,0,53,140
82,0,57,140
83,0,58,139
84,0,59,139
85,0,59,139
86,0,59,139
87,0,57,139
88,0,56,139
89,0,56,138
90,0,58,136
91,0,59,136
92,0,59,136
93,0,59,138
94,0,59,140
95,0,59,142
96,0,61,141
97,0,62,141
98,0,61,141
99,0,62,141
100,0,60,141
101,0,59,140
102,0,65,141
103,0,74,141
104,0,72,140
105,0,64,138
106,0,59,140
107,0,60,139
108,0,61,139
109,0,62,139
110,0,61,139
111,0,61,140
112,0,61,140
113,0,62,140
114,0,62,140
115,0,62,140
116,0,61,140
117,0,62,142
118,0,62,144
119,0,63,144
120,0,63,144
121,0,63,143
122,0,65,140
123,0,63,141
124,0,63,141
125,0,64,141
126,0,64,141
127,0,65,141
128,0,67,142
129,0,69,142
130,0,68,141
131,0,73,139
132,0,71,140
133,0,69,142
134,0,75,143
135,0,77,143
136,0,70,138
137,0,64,131
138,0,63,142
139,0,83,148
140,0,108,143
141,0,125,189
142,0,140,246
143,0,208,253
0,1,113,140
1,1,75,149
2,1,67,163
3,1,59,173
4,1,54,166
5,1,63,150
6,1,74,137
7,1,69,140
8,1,58,139
9,1,56,137
10,1,55,140
11,1,54,140
12,1,53,142
13,1,52,143
14,1,55,142
15,1,59,139
16,1,59,138
17,1,57,139
18,1,53,140
19,1,51,139
20,1,52,139
21,1,57,138
22,1,64,138
23,1,67,140
24,1,65,142
25,1,61,143
26,1,59,138
27,1,59,138
28,1,59,139
29,1,59,140
30,1,58,142
31,1,56,142
32,1,56,143
33,1,56,143
34,1,57,141
35,1,57,142
36,1,56,142
37,1,56,141
38,1,56,140
39,1,56,139
40,1,55,138
41,1,55,136
42,1,54,139
43,1,54,142
44,1,54,143
45,1,54,142
46,1,55,140
47,1,55,140
48,1,56,142
49,1,56,143
50,1,56,143
51,1,56,146
52,1,56,144
53,1,55,141
54,1,55,142
55,1,56,143
56,1,58,143
57,1,59,144
58,1,57,141
59,1,58,140
60,1,58,138
61,1,58,139
62,1,57,142
63,1,57,143
64,1,56,140
65,1,56,140
66,1,58,139
67,1,59,139
68,1,59,139
69,1,59,139
70,1,57,140
71,1,56,140
72,1,57,140
73,1,58,139
74,1,55,142
75,1,52,142
76,1,49,142
77,1,53,141
78,1,62,139
79,1,62,140
80,1,57,141
81,1,55,143
82,1,55,142
83,1,56,142
84,1,57,142
85,1,57,142
86,1,56,142
87,1,56,141
88,1,55,141
89,1,55,140
90,1,57,139
91,1,57,138
92,1,57,137
93,1,56,138
94,1,56,141
95,1,57,143
96,1,59,144
97,1,60,145
98,1,52,144
99,1,55,144
100,1,56,144
101,1,54,143
102,1,56,144
103,1,59,144
104,1,58,143
105,1,55,141
106,1,53,143
107,1,53,142
108,1,53,142
109,1,54,142
110,1,54,142
111,1,53,142
112,1,53,141
113,1,54,141
114,1,56,141
115,1,56,141
116,1,56,142
117,1,55,143
118,1,55,145
119,1,55,145
120,1,54,145
121,1,54,144
122,1,54,144
123,1,53,143
124,1,53,142
125,1,56,142
126,1,58,141
127,1,59,142
128,1,61,143
129,1,64,144
130,1,63,147
131,1,65,148
132,1,62,148
133,1,62,144
134,1,66,140
135,1,63,137
136,1,60,128
137,1,66,114
138,1,82,116
139,1,108,140
140,1,132,139
141,1,133,178
142,1,135,248
143,1,204,251
0,2,126,145
1,2,93,150
2,2,95,162
3,2,70,179
4,2,54,182
5,2,57,171
6,2,62,154
7,2,64,148
8,2,61,140
9,2,54,137
10,2,57,142
11,2,59,144
12,2,59,144
13,2,58,142
14,2,58,141
15,2,60,141
16,2,60,141
17,2,58,140
18,2,59,140
19,2,56,141
20,2,55,140
21,2,59,139
22,2,66,140
23,2,69,142
24,2,66,142
25,2,62,142
26,2,61,141
27,2,61,141
28,2,62,141
29,2,63,141
30,2,62,142
31,2,59,143
32,2,58,144
33,2,58,143
34,2,59,143
35,2,59,144
36,2,59,144
37,2,59,142
38,2,59,141
39,2,59,140
40,2,59,139
41,2,59,137
42,2,60,140
43,2,61,143
44,2,61,146
45,2,60,144
46,2,59,142
47,2,59,142
48,2,60,143
49,2,61,144
50,2,61,145
51,2,62,148
52,2,62,145
53,2,61,142
54,2,60,143
55,2,60,144
56,2,61,142
57,2,62,141
58,2,61,139
59,2,61,138
60,2,61,135
61,2,61,135
62,2,61,140
63,2,60,142
64,2,59,140
65,2,59,140
66,2,62,140
67,2,63,140
68,2,64,140
69,2,63,140
70,2,61,141
71,2,60,141
72,2,59,141
73,2,59,140
74,2,57,143
75,2,60,143
76,2,58,143
77,2,54,142
78,2,54,141
79,2,56,141
80,2,58,142
81,2,59,143
82,2,58,143
83,2,59,143
84,2,59,143
85,2,58,143
86,2,58,143
87,2,58,142
88,2,59,141
89,2,60,140
90,2,60,141
91,2,59,140
92,2,58,140
93,2,57,141
94,2,58,142
95,2,59,144
96,2,60,145
97,2,61,145
98,2,56,145
99,2,58,146
100,2,60,146
101,2,61,145
102,2,58,145
103,2,56,146
104,2,58,144
105,2,61,142
106,2,61,142
107,2,59,142
108,2,58,142
109,2,58,143
110,2,58,143
111,2,57,143
112,2,57,142
113,2,58,142
114,2,59,142
115,2,60,142
116,2,60,143
117,2,60,143
118,2,59,144
119,2,59,144
120,2,59,145
121,2,60,145
122,2,59,144
123,2,58,144
124,2,58,143
125,2,61,143
126,2,63,143
127,2,63,144
128,2,63,145
129,2,65,145
130,2,66,147
131,2,66,146
132,2,65,145
133,2,67,142
134,2,68,135
135,2,62,127
136,2,68,115
137,2,88,102
138,2,115,110
139,2,134,138
140,2,147,139
141,2,140,182
142,2,136,253
143,2,204,254
0,3,117,143
1,3,99,148
2,3,108,169
3,3,82,183
4,3,64,189
5,3,56,186
6,3,51,169
7,3,56,154
8,3,62,140
9,3,57,138
10,3,54,143
11,3,60,144
12,3,64,143
13,3,61,140
14,3,57,140
15,3,57,142
16,3,58,143
17,3,59,142
18,3,57,140
19,3,57,143
20,3,58,143
21,3,60,141
22,3,61,143
23,3,61,143
24,3,59,141
25,3,57,140
26,3,56,145
27,3,56,144
28,3,58,143
29,3,60,142
30,3,60,142
31,3,59,142
32,3,59,142
33,3,60,141
34,3,58,141
35,3,59,142
36,3,59,142
37,3,59,142
38,3,59,142
39,3,60,142
40,3,60,142
41,3,61,140
42,3,62,141
43,3,62,144
44,3,62,145
45,3,61,144
46,3,59,141
47,3,58,141
48,3,58,141
49,3,58,141
50,3,60,143
51,3,60,144
52,3,61,143
53,3,60,142
54,3,59,143
55,3,59,142
56,3,59,140
57,3,59,140
58,3,60,140
59,3,60,140
60,3,60,136
61,3,60,135
62,3,60,142
63,3,60,143
64,3,59,141
65,3,58,142
66,3,58,142
67,3,59,142
68,3,60,141
69,3,60,142
70,3,59,142
71,3,58,142
72,3,57,141
73,3,56,141
74,3,56,143
75,3,62,143
76,3,68,143
77,3,68,142
78,3,61,142
79,3,56,142
80,3,56,141
81,3,59,141
82,3,58,142
83,3,58,142
84,3,57,142
85,3,57,142
86,3,57,142
87,3,58,142
88,3,59,141
89,3,60,140
90,3,60,141
91,3,59,142
92,3,57,144
93,3,57,144
94,3,58,144
95,3,58,143
96,3,58,143
97,3,58,143
98,3,60,143
99,3,58,144
100,3,57,144
101,3,59,144
102,3,57,143
103,3,54,144
104,3,56,143
105,3,61,142
106,3,62,141
107,3,59,141
108,3,58,141
109,3,59,141
110,3,59,141
111,3,58,142
112,3,57,143
113,3,58,144
114,3,58,144
115,3,58,144
116,3,59,143
117,3,59,143
118,3,59,142
119,3,60,141
120,3,61,141
121,3,61,141
122,3,62,142
123,3,63,143
124,3,63,144
125,3,63,144
126,3,62,144
127,3,61,143
128,3,60,144
129,3,60,144
130,3,60,146
131,3,60,139
132,3,61,137
133,3,63,136
134,3,64,127
135,3,65,114
136,3,81,105
137,3,104,99
138,3,129,123
139,3,137,141
140,3,143,134
141,3,140,176
142,3,142,247
143,3,205,255
0,4,107,139
1,4,106,146
2,4,112,172
3,4,100,182
4,4,85,186
5,4,68,185
6,4,53,176
7,4,51,165
8,4,56,149
9,4,56,142
10,4,54,142
11,4,59,143
12,4,62,142
13,4,59,142
14,4,57,142
15,4,58,142
16,4,59,142
17,4,58,141
18,4,57,141
19,4,59,145
20,4,60,143
21,4,61,140
22,4,60,143
23,4,59,144
24,4,58,142
25,4,59,142
26,4,60,145
27,4,60,145
28,4,60,144
29,4,60,143
30,4,59,143
31,4,58,143
32,4,57,143
33,4,58,142
34,4,57,142
35,4,58,142
36,4,58,142
37,4,58,142
38,4,58,142
39,4,58,144
40,4,58,143
41,4,59,142
42,4,55,141
43,4,54,143
44,4,54,144
45,4,55,142
46,4,57,141
47,4,59,141
48,4,60,142
49,4,60,142
50,4,60,142
51,4,60,141
52,4,60,140
53,4,60,142
54,4,60,143
55,4,60,140
56,4,60,139
57,4,60,141
58,4,58,143
59,4,58,145
60,4,57,141
61,4,58,139
62,4,59,145
63,4,60,146
64,4,58,143
65,4,57,144
66,4,58,142
67,4,58,142
68,4,58,142
69,4,58,143
70,4,58,143
71,4,59,144
72,4,59,143
73,4,57,143
74,4,59,144
75,4,64,145
76,4,71,145
77,4,73,145
78,4,67,144
79,4,60,143
80,4,58,142
81,4,59,142
82,4,59,141
83,4,59,141
84,4,58,142
85,4,58,142
86,4,58,142
87,4,58,142
88,4,59,141
89,4,60,140
90,4,60,142
91,4,60,144
92,4,60,146
93,4,60,146
94,4,60,144
95,4,60,142
96,4,59,142
97,4,58,143
98,4,63,142
99,4,60,143
100,4,58,144
101,4,59,143
102,4,59,142
103,4,57,142
104,4,57,142
105,4,60,142
106,4,61,143
107,4,60,143
108,4,60,143
109,4,61,141
110,4,61,141
111,4,59,142
112,4,58,144
113,4,60,147
114,4,60,147
115,4,59,146
116,4,59,144
117,4,59,143
118,4,60,143
119,4,61,143
120,4,62,142
121,4,62,142
122,4,64,142
123,4,67,144
124,4,67,145
125,4,64,143
126,4,61,141
127,4,60,140
128,4,60,142
129,4,60,145
130,4,58,144
131,4,59,137
132,4,57,130
133,4,54,124
134,4,59,114
135,4,77,105
136,4,103,99
137,4,122,96
138,4,133,110
139,4,138,140
140,4,138,146
141,4,134,186
142,4,142,249
143,4,209,255
0,5,114,139
1,5,105,146
2,5,112,170
3,5,109,183
4,5,96,187
5,5,79,187
6,5,66,186
7,5,61,186
8,5,58,167
9,5,55,150
10,5,59,141
11,5,59,141
12,5,58,142
13,5,55,146
14,5,57,146
15,5,60,142
16,5,59,138
17,5,55,137
18,5,59,141
19,5,59,144
20,5,59,140
21,5,58,137
22,5,58,141
23,5,58,143
24,5,58,143
25,5,58,144
26,5,58,143
27,5,57,144
28,5,57,144
29,5,58,143
30,5,57,143
31,5,57,145
32,5,58,146
33,5,60,145
34,5,57,143
35,5,58,143
36,5,58,142
37,5,58,141
38,5,57,142
39,5,56,143
40,5,57,142
41,5,57,141
42,5,59,141
43,5,56,142
44,5,53,142
45,5,53,140
46,5,56,140
47,5,58,142
48,5,59,144
49,5,58,144
50,5,59,143
51,5,58,141
52,5,58,139
53,5,58,141
54,5,58,142
55,5,59,137
56,5,60,136
57,5,60,140
58,5,59,145
59,5,58,148
60,5,57,143
61,5,58,140
62,5,61,146
63,5,61,146
64,5,60,141
65,5,58,142
66,5,58,140
67,5,58,140
68,5,57,141
69,5,56,142
70,5,57,144
71,5,59,145
72,5,59,145
73,5,58,145
74,5,60,144
75,5,62,146
76,5,65,148
77,5,64,148
78,5,61,146
79,5,60,143
80,5,59,143
81,5,56,143
82,5,58,141
83,5,58,141
84,5,58,141
85,5,58,142
86,5,58,142
87,5,58,142
88,5,58,141
89,5,59,140
90,5,58,143
91,5,60,145
92,5,62,146
93,5,63,145
94,5,62,142
95,5,60,140
96,5,59,141
97,5,58,143
98,5,58,143
99,5,57,145
100,5,57,145
101,5,58,144
102,5,58,143
103,5,58,143
104,5,58,144
105,5,59,144
106,5,58,148
107,5,57,147
108,5,59,145
109,5,61,142
110,5,60,140
111,5,58,141
112,5,57,145
113,5,59,149
114,5,60,147
115,5,59,145
116,5,58,143
117,5,58,144
118,5,59,146
119,5,59,148
120,5,59,148
121,5,59,148
122,5,59,146
123,5,64,148
124,5,66,147
125,5,61,143
126,5,57,138
127,5,58,137
128,5,60,142
129,5,60,147
130,5,56,139
131,5,62,136
132,5,63,126
133,5,59,111
134,5,69,100
135,5,98,99
136,5,123,98
137,5,130,91
138,5,133,106
139,5,145,139
140,5,143,146
141,5,132,180
142,5,140,246
143,5,209,255
0,6,113,141
1,6,109,149
2,6,117,170
3,6,117,188
4,6,108,190
5,6,98,188
6,6,86,186
7,6,70,183
8,6,60,179
9,6,54,166
10,6,58,151
11,6,59,138
12,6,60,138
13,6,59,147
14,6,56,148
15,6,57,143
16,6,60,140
17,6,60,139
18,6,58,141
19,6,58,144
20,6,58,143
21,6,59,140
22,6,59,142
23,6,58,144
24,6,58,143
25,6,60,142
26,6,57,143
27,6,58,143
28,6,59,143
29,6,59,142
30,6,58,143
31,6,58,143
32,6,58,143
33,6,58,144
34,6,57,143
35,6,58,142
36,6,59,141
37,6,59,141
38,6,58,141
39,6,58,141
40,6,59,141
41,6,61,140
42,6,61,141
43,6,62,141
44,6,62,141
45,6,59,141
46,6,58,141
47,6,60,142
48,6,59,143
49,6,57,145
50,6,58,142
51,6,59,142
52,6,59,140
53,6,58,139
54,6,58,141
55,6,59,141
56,6,60,140
57,6,59,142
58,6,58,143
59,6,58,143
60,6,58,141
61,6,58,142
62,6,59,145
63,6,61,146
64,6,60,143
65,6,58,142
66,6,59,141
67,6,60,142
68,6,61,139
69,6,60,142
70,6,58,144
71,6,56,144
72,6,56,145
73,6,58,143
74,6,60,140
75,6,61,142
76,6,63,146
77,6,63,145
78,6,62,141
79,6,60,140
80,6,58,142
81,6,57,143
82,6,58,140
83,6,59,141
84,6,58,141
85,6,57,141
86,6,57,141
87,6,59,142
88,6,59,142
89,6,57,141
90,6,59,142
91,6,59,143
92,6,58,144
93,6,58,143
94,6,58,141
