# x,y,g1,g2
0,0,62,116
1,0,43,128
2,0,66,101
3,0,83,123
4,0,75,113
5,0,79,104
6,0,82,105
7,0,67,109
8,0,73,110
9,0,86,107
10,0,66,104
11,0,65,105
12,0,64,104
13,0,59,107
14,0,60,110
15,0,66,110
16,0,63,107
17,0,65,105
18,0,79,105
19,0,69,98
20,0,70,109
21,0,76,103
22,0,75,94
23,0,65,102
24,0,67,104
25,0,76,101
26,0,77,106
27,0,81,102
28,0,62,103
29,0,75,103
30,0,69,107
31,0,57,104
32,0,77,102
33,0,81,107
34,0,70,101
35,0,64,109
36,0,60,108
37,0,66,103
38,0,65,102
39,0,67,105
40,0,77,103
41,0,79,103
42,0,79,107
43,0,85,105
44,0,81,111
45,0,89,106
46,0,81,106
47,0,94,105
48,0,98,121
49,0,93,113
50,0,61,102
51,0,66,104
52,0,74,109
53,0,60,103
54,0,52,101
55,0,68,111
56,0,67,114
57,0,56,106
58,0,63,103
59,0,75,103
60,0,73,106
61,0,79,110
62,0,67,110
63,0,85,107
64,0,80,104
65,0,92,103
66,0,73,103
67,0,78,106
68,0,72,109
69,0,70,107
70,0,70,103
71,0,69,105
72,0,70,107
73,0,69,108
74,0,64,111
75,0,79,104
76,0,72,113
77,0,72,108
78,0,68,109
79,0,63,111
80,0,59,103
81,0,73,106
82,0,57,113
83,0,60,109
84,0,64,112
85,0,66,116
86,0,76,114
87,0,73,105
88,0,71,104
89,0,73,109
90,0,45,112
91,0,62,114
92,0,51,118
93,0,57,112
94,0,68,108
95,0,68,108
96,0,74,110
97,0,79,117
98,0,71,114
99,0,81,104
100,0,79,112
101,0,80,116
102,0,73,112
103,0,64,112
104,0,58,117
105,0,62,118
106,0,63,115
107,0,83,109
108,0,59,107
109,0,64,112
110,0,68,108
111,0,73,110
112,0,61,116
113,0,63,111
114,0,53,112
115,0,61,106
116,0,51,111
117,0,69,105
118,0,58,112
119,0,72,115
120,0,69,116
121,0,90,126
122,0,100,111
123,0,111,99
124,0,91,119
125,0,61,117
126,0,55,106
127,0,61,125
0,1,66,113
1,1,65,109
2,1,70,115
3,1,52,110
4,1,81,110
5,1,77,106
6,1,70,103
7,1,88,104
8,1,90,100
9,1,84,98
10,1,94,103
11,1,93,101
12,1,86,100
13,1,75,101
14,1,75,101
15,1,85,101
16,1,84,100
17,1,77,99
18,1,76,99
19,1,73,96
20,1,83,100
21,1,84,93
22,1,79,94
23,1,80,103
24,1,78,96
25,1,78,92
26,1,86,107
27,1,85,101
28,1,88,102
29,1,85,97
30,1,78,95
31,1,87,96
32,1,84,94
33,1,71,94
34,1,88,96
35,1,69,99
36,1,69,99
37,1,67,100
38,1,65,103
39,1,69,104
40,1,71,102
41,1,69,100
42,1,72,101
43,1,61,109
44,1,66,92
45,1,81,99
46,1,72,102
47,1,72,103
48,1,69,110
49,1,80,100
50,1,73,107
51,1,73,99
52,1,73,104
53,1,66,102
54,1,66,101
55,1,73,106
56,1,71,105
57,1,67,101
58,1,71,102
59,1,62,93
60,1,56,98
61,1,61,103
62,1,60,104
63,1,78,102
64,1,66,98
65,1,71,96
66,1,69,96
67,1,78,100
68,1,70,105
69,1,73,104
70,1,77,99
71,1,72,98
72,1,73,103
73,1,76,107
74,1,71,108
75,1,67,101
76,1,67,106
77,1,73,104
78,1,81,105
79,1,75,107
80,1,67,102
81,1,73,102
82,1,61,107
83,1,81,107
84,1,66,103
85,1,71,102
86,1,76,104
87,1,75,104
88,1,81,104
89,1,76,106
90,1,64,108
91,1,69,106
92,1,63,111
93,1,65,110
94,1,68,107
95,1,65,106
96,1,67,108
97,1,73,108
98,1,72,103
99,1,62,98
100,1,67,103
101,1,77,104
